2018-09-03 17:45:41 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:45:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:19 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:46:20 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:46:25 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:46:29 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:30 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:32 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:46:34 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:35 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:36 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:37 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:47 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:46:49 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:46:50 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:46:51 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:52 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:46:57 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:46:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:47:17 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:24 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:24 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:25 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:27 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:37 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:47:38 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:47:39 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:47:39 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:47:41 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:47:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:47:43 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:50 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:47:52 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:55 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:47:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:48:00 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:48:01 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:48:02 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:48:03 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:48:05 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:48:16 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:48:18 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:51:51 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:51:51 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:51:52 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:51:53 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:51:54 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:51:56 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:51:57 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:51:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:52:00 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:52:07 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:52:19 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:52:23 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:52:32 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:52:33 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:52:35 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:52:45 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:52:45 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:52:57 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:52:59 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:53:22 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:53:24 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:54:37 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:54:40 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:54:45 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:54:46 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:54:47 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:54:48 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:54:51 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:54:55 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:54:57 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:54:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:54:59 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:55:00 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:55:01 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:55:02 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:55:03 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:55:07 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
